Simulated_Height_mm,Simulated_Total_Vol_mL,Ideal_Height_mm,Nominal_Total_Vol_mL,Height_Error_mm
6.155,0.0197,6.183,0.02,-0.028
7.773,0.0397,7.79,0.04,-0.017
8.905,0.0597,8.918,0.06,-0.013
9.811,0.0799,9.815,0.08,-0.004
10.564,0.0997,10.573,0.1,-0.009
11.222,0.1196,11.236,0.12,-0.013
11.811,0.1394,11.828,0.14,-0.017
12.345,0.1592,12.366,0.16,-0.021
12.828,0.1786,12.862,0.18,-0.033
13.293,0.1987,13.321,0.2,-0.028
13.727,0.2189,13.751,0.22,-0.024
14.126,0.2385,14.156,0.24,-0.029
14.508,0.2584,14.539,0.26,-0.031
14.87,0.2782,14.902,0.28,-0.033
15.215,0.298,15.249,0.3,-0.034
15.54,0.3175,15.581,0.32,-0.041
15.857,0.3373,15.899,0.34,-0.042
16.165,0.3574,16.204,0.36,-0.039
16.468,0.3779,16.499,0.38,-0.031
16.754,0.3979,16.784,0.4,-0.03
17.03,0.4179,17.059,0.42,-0.029
17.295,0.4377,17.325,0.44,-0.03
17.553,0.4575,17.584,0.46,-0.031
17.806,0.4777,17.835,0.48,-0.029
18.052,0.4977,18.08,0.5,-0.028
18.288,0.5175,18.318,0.52,-0.029
18.519,0.5372,18.551,0.54,-0.032
18.751,0.5572,18.783,0.56,-0.033
18.981,0.577,19.016,0.58,-0.035
19.214,0.597,19.249,0.6,-0.035
19.445,0.6169,19.482,0.62,-0.037
19.678,0.6369,19.714,0.64,-0.036
19.907,0.6566,19.947,0.66,-0.04
20.142,0.6768,20.18,0.68,-0.038
20.381,0.6973,20.413,0.7,-0.032
20.616,0.7174,20.645,0.72,-0.03
20.848,0.7374,20.878,0.74,-0.03
21.083,0.7576,21.111,0.76,-0.028
21.312,0.7773,21.344,0.78,-0.031
21.541,0.797,21.576,0.8,-0.035
21.775,0.8171,21.809,0.82,-0.034
22.006,0.8369,22.042,0.84,-0.036
22.235,0.8566,22.275,0.86,-0.04
22.465,0.8764,22.507,0.88,-0.042
22.694,0.8961,22.74,0.9,-0.046
22.927,0.9161,22.973,0.92,-0.046
23.16,0.9361,23.206,0.94,-0.045
23.395,0.9562,23.438,0.96,-0.044
23.629,0.9764,23.671,0.98,-0.042
23.863,0.9965,23.904,1.0,-0.041
24.094,1.0164,24.137,1.02,-0.042
24.325,1.0362,24.369,1.04,-0.044
24.554,1.0559,24.602,1.06,-0.048
24.789,1.076,24.835,1.08,-0.046
25.02,1.0959,25.068,1.1,-0.047
25.251,1.1158,25.3,1.12,-0.049
25.486,1.136,25.533,1.14,-0.047
25.716,1.1558,25.766,1.16,-0.049
25.951,1.1759,25.999,1.18,-0.048
26.183,1.1959,26.231,1.2,-0.048
26.413,1.2156,26.464,1.22,-0.051
26.645,1.2356,26.697,1.24,-0.052
26.88,1.2557,26.929,1.26,-0.05
27.114,1.2758,27.162,1.28,-0.049
27.349,1.2961,27.395,1.3,-0.046
27.582,1.3161,27.628,1.32,-0.046
27.822,1.3367,27.86,1.34,-0.038
28.052,1.3565,28.093,1.36,-0.041
28.283,1.3763,28.326,1.38,-0.043
28.515,1.3963,28.559,1.4,-0.043
28.744,1.416,28.791,1.42,-0.047
28.979,1.4361,29.024,1.44,-0.045
29.213,1.4562,29.257,1.46,-0.044
29.445,1.4762,29.49,1.48,-0.044
29.676,1.496,29.722,1.5,-0.046
