Height_mm,Volume_mL
6.183,0.02
7.79,0.04
8.918,0.06
9.815,0.08
10.573,0.1
11.236,0.12
11.828,0.14
12.366,0.16
12.862,0.18
13.321,0.2
13.751,0.22
14.156,0.24
14.539,0.26
14.902,0.28
15.249,0.3
15.581,0.32
15.899,0.34
16.204,0.36
16.499,0.38
16.784,0.4
17.059,0.42
17.325,0.44
17.584,0.46
17.835,0.48
18.08,0.5
18.318,0.52
18.551,0.54
18.783,0.56
19.016,0.58
19.249,0.6
19.482,0.62
19.714,0.64
19.947,0.66
20.18,0.68
20.413,0.7
20.645,0.72
20.878,0.74
21.111,0.76
21.344,0.78
21.576,0.8
21.809,0.82
22.042,0.84
22.275,0.86
22.507,0.88
22.74,0.9
22.973,0.92
23.206,0.94
23.438,0.96
23.671,0.98
23.904,1.0
24.137,1.02
24.369,1.04
24.602,1.06
24.835,1.08
25.068,1.1
25.3,1.12
25.533,1.14
25.766,1.16
25.999,1.18
26.231,1.2
26.464,1.22
26.697,1.24
26.929,1.26
27.162,1.28
27.395,1.3
27.628,1.32
27.86,1.34
28.093,1.36
28.326,1.38
28.559,1.4
28.791,1.42
29.024,1.44
29.257,1.46
29.49,1.48
29.722,1.5
